student_id,study_hours_per_day,attendance_percentage,previous_score,assignments_completed,sleep_hours,parental_support,extra_curricular,internet_access,performance_level
1043,5.1,66.0,40,9,10.0,Low,Yes,No,At-Risk
1044,4.4,77.7,69,6,6.5,High,No,Yes,Good
1045,2.0,64.1,78,13,7.2,Medium,No,Yes,At-Risk
1046,3.8,87.7,58,14,6.4,Medium,No,Yes,Average
1047,4.3,77.3,75,1,7.0,Medium,No,Yes,At-Risk
1048,6.6,74.2,100,9,9.3,Medium,Yes,Yes,Good
1049,6.1,70.9,63,14,5.0,High,Yes,Yes,Good
1050,1.9,79.7,70,9,5.7,High,No,Yes,Average
1051,5.5,84.6,53,12,9.1,Medium,Yes,Yes,Good
1052,4.3,60.6,67,11,8.5,High,Yes,Yes,At-Risk
1053,3.8,64.6,71,11,6.5,High,Yes,Yes,Average
1054,6.3,68.9,67,8,8.3,High,Yes,No,Good
1055,6.9,58.3,49,5,7.5,Low,Yes,Yes,Average
1056,6.7,61.0,68,5,9.3,Medium,Yes,No,Good
1057,3.3,66.7,86,12,7.1,Medium,Yes,Yes,Average
1058,4.7,88.5,71,10,8.5,High,No,Yes,Average
1059,5.8,76.5,79,9,10.0,Low,Yes,Yes,Average
1060,6.8,77.1,61,8,7.9,Medium,Yes,Yes,Average
1061,4.3,88.4,76,8,7.1,Medium,Yes,No,Good
1062,3.8,72.3,69,14,8.1,Medium,Yes,No,Average
1063,3.1,80.7,50,8,6.5,Medium,No,Yes,At-Risk
1064,3.7,56.9,84,4,10.0,High,No,Yes,Good
1065,6.5,76.0,50,12,7.3,Medium,No,Yes,Average
1066,7.4,66.9,55,9,6.6,High,Yes,No,Average
1067,4.5,41.9,67,10,5.7,Medium,No,Yes,Average
1068,7.4,73.0,69,16,8.6,Medium,No,Yes,Good
1069,5.6,96.8,47,9,8.3,Medium,Yes,Yes,At-Risk
1070,3.8,90.3,80,11,6.3,Low,Yes,Yes,Good
1071,5.7,86.9,73,5,7.9,Medium,Yes,No,Good
1072,8.2,96.9,54,9,4.7,Medium,No,Yes,Good
1073,5.0,76.7,41,12,7.3,Medium,No,Yes,Average
1074,7.7,81.2,62,3,7.7,High,Yes,Yes,Good
1075,0.3,64.3,58,10,9.6,Medium,No,Yes,At-Risk
1076,6.5,73.9,66,10,5.8,Low,Yes,Yes,Good
1077,4.7,85.8,59,10,5.1,Low,Yes,Yes,Average
1078,4.3,94.2,34,14,5.7,Medium,No,No,At-Risk
1079,5.6,73.4,59,11,5.0,Medium,No,Yes,At-Risk
1080,8.1,92.4,38,15,9.0,Low,Yes,Yes,Good
1081,4.5,77.4,74,6,9.3,Medium,Yes,Yes,Good
1082,5.6,84.3,54,10,7.5,Medium,Yes,Yes,Average
1083,7.9,49.4,90,10,8.8,Medium,Yes,No,Good
1084,4.6,38.3,36,5,7.2,High,No,Yes,At-Risk
1085,3.5,66.4,84,13,6.9,Medium,No,Yes,At-Risk
1086,4.1,57.3,61,19,6.5,Medium,No,Yes,Average
1087,7.1,67.3,77,9,6.5,High,Yes,Yes,Good
1088,5.7,75.2,66,12,4.7,Medium,No,Yes,Average
1089,3.9,64.3,82,10,7.4,Medium,Yes,No,Good
1090,6.0,97.1,59,7,6.9,Medium,No,Yes,Average
1091,5.2,76.3,48,2,8.1,Low,No,Yes,At-Risk
1092,6.9,81.0,86,7,7.1,Medium,No,Yes,Average
1093,3.8,84.1,63,4,6.8,Medium,Yes,Yes,Average
1094,4.4,58.8,68,16,5.7,High,Yes,Yes,Average
1095,4.4,88.9,83,9,7.1,High,Yes,No,Good
1096,2.0,76.4,49,8,8.1,Medium,No,Yes,At-Risk
1097,5.6,87.1,73,13,5.3,Medium,Yes,Yes,Good
1098,4.9,60.1,56,5,7.1,Low,Yes,Yes,At-Risk
1099,5.3,51.4,63,6,7.3,Medium,Yes,No,Average
1100,4.6,88.4,66,10,5.9,Medium,No,Yes,Average
1101,3.4,41.9,88,14,6.1,Medium,Yes,No,Average
1102,3.3,63.2,53,12,7.3,Medium,No,Yes,At-Risk
1103,4.9,65.3,85,10,5.3,Low,No,No,Average
1104,3.4,94.0,78,10,7.5,High,No,Yes,Good
1105,5.0,55.7,64,11,5.7,Low,Yes,Yes,At-Risk
1106,5.5,100.0,68,10,8.6,High,Yes,Yes,Good
1107,9.0,58.9,60,5,10.0,High,Yes,Yes,Good
1108,5.0,85.7,85,10,5.7,Medium,Yes,Yes,Good
1109,5.3,71.0,61,5,7.8,High,Yes,Yes,Average
1110,5.4,80.3,68,10,5.9,Medium,No,Yes,At-Risk
1111,1.1,64.5,82,8,8.6,Medium,Yes,Yes,At-Risk
1112,5.0,72.0,53,20,5.1,Medium,No,No,Average
1113,5.4,75.0,88,9,7.7,Medium,Yes,Yes,Good
1114,10.1,57.5,42,4,5.7,Medium,No,No,Good
1115,4.7,86.9,89,9,6.7,Medium,No,Yes,Good
1116,5.7,67.8,59,12,5.5,Medium,No,Yes,Average
1117,5.7,71.2,61,16,8.2,Medium,No,Yes,Good
1118,2.6,58.6,36,7,5.7,Medium,No,Yes,At-Risk
1119,7.3,38.7,58,3,7.8,Low,No,No,At-Risk
1120,6.8,75.4,49,13,6.5,Low,Yes,Yes,Average
1121,6.9,99.0,55,4,6.8,Medium,Yes,No,Good
1122,3.5,85.5,62,8,7.2,Low,Yes,No,At-Risk
1123,8.0,75.7,79,8,5.9,Low,Yes,Yes,Average
1124,1.9,70.3,68,9,7.3,High,Yes,No,Average
1125,6.7,75.1,69,12,9.3,Low,Yes,Yes,Average
1126,9.0,84.7,48,7,5.8,Medium,Yes,No,Average
1127,3.1,53.5,51,8,8.8,Medium,Yes,Yes,At-Risk
1128,3.6,94.4,91,9,9.2,High,Yes,Yes,Good
1129,5.2,85.9,53,10,5.8,Medium,No,No,Average
1130,4.1,84.9,89,10,4.8,Medium,Yes,Yes,Good
1131,2.0,81.4,61,11,7.5,Medium,No,Yes,At-Risk
1132,10.0,93.8,31,13,6.2,Medium,Yes,Yes,Good
1133,3.4,81.6,81,11,9.8,Medium,No,Yes,Average
1134,6.1,86.9,84,11,7.1,Low,No,Yes,Average
1135,3.1,69.8,63,3,5.8,High,No,No,At-Risk
1136,8.4,67.3,59,10,5.3,Medium,No,Yes,At-Risk
1137,3.8,78.4,64,11,8.6,Medium,Yes,Yes,Average
1138,4.0,96.2,70,12,6.1,High,No,Yes,Good
1139,6.8,57.4,78,7,7.1,Medium,No,Yes,Good
1140,2.7,52.5,65,7,8.4,High,No,Yes,At-Risk
1141,3.1,45.5,82,7,6.3,Medium,No,Yes,Average
1142,8.0,71.5,89,12,6.9,High,Yes,No,Good
1143,1.7,77.4,70,14,7.0,Low,No,Yes,At-Risk
1144,5.4,77.5,69,8,8.0,High,Yes,Yes,Good
1145,5.5,72.5,42,13,7.9,High,No,No,Average
1146,6.6,98.3,25,10,6.7,Low,Yes,Yes,Average
1147,2.2,49.6,70,9,7.1,Low,No,Yes,At-Risk
1148,1.9,61.1,63,9,6.4,Medium,Yes,Yes,At-Risk
1149,6.5,73.2,57,12,4.8,High,Yes,No,Good
1150,5.3,48.6,68,11,7.4,Medium,No,Yes,Average
1151,8.5,86.9,64,15,3.7,Medium,No,Yes,Good
1152,5.0,99.2,81,6,5.7,Low,No,Yes,Average
1153,3.4,69.5,66,12,5.8,Medium,Yes,Yes,Average
1154,5.1,77.7,53,7,5.7,Medium,Yes,Yes,At-Risk
1155,6.1,54.0,79,6,8.1,High,No,Yes,Good
1156,3.9,62.5,61,9,7.7,Medium,No,Yes,Average
1157,8.5,66.9,72,10,6.8,High,No,Yes,Good
1158,6.6,70.5,57,20,5.6,Medium,Yes,Yes,Good
1159,2.9,96.9,55,9,7.1,Low,No,Yes,At-Risk
1160,6.2,84.0,66,5,4.7,Medium,Yes,No,Average
1161,2.3,57.1,65,11,7.2,Medium,Yes,No,At-Risk
1162,7.3,79.6,72,1,8.3,High,Yes,Yes,Good
1163,6.9,81.6,60,9,5.1,High,Yes,Yes,Good
1164,2.9,90.7,37,10,4.7,Low,No,No,At-Risk
1165,7.2,96.4,58,13,9.4,Low,Yes,Yes,Good
1166,6.6,56.3,76,13,6.1,Low,Yes,Yes,Good
1167,7.1,62.1,60,7,8.7,High,Yes,Yes,Good
1168,9.0,56.5,61,9,6.8,High,Yes,Yes,Good
1169,4.7,71.3,79,6,6.8,High,No,No,Good
1170,3.7,81.2,54,5,7.7,Medium,Yes,No,At-Risk
1171,3.4,87.9,41,11,5.7,Medium,Yes,Yes,Average
1172,3.5,75.1,62,4,7.2,Medium,No,Yes,At-Risk
1173,4.9,67.6,57,8,6.4,Medium,No,Yes,Average
1174,5.7,78.8,50,6,5.0,Medium,No,Yes,At-Risk
1175,5.3,60.5,62,12,7.5,Low,Yes,Yes,At-Risk
1176,6.6,98.5,72,17,6.6,Low,No,Yes,Good
1177,4.5,48.0,64,4,6.8,High,No,Yes,Average
1178,7.9,76.8,69,2,5.2,High,No,No,Good
1179,4.2,100.0,92,9,9.4,Medium,No,Yes,Good
1180,10.1,76.1,59,10,8.3,Medium,Yes,Yes,Good
1181,6.3,74.1,69,10,8.4,Medium,No,Yes,Average
1182,3.7,70.7,57,8,6.5,High,Yes,Yes,Average
1183,3.1,70.1,52,9,4.4,High,Yes,Yes,At-Risk
1184,5.5,94.9,56,11,9.9,High,Yes,Yes,Good
1185,4.3,40.3,57,14,6.9,High,Yes,Yes,Average
1186,6.7,100.0,70,2,5.9,Low,No,No,Average
1187,5.7,51.2,100,8,7.6,Medium,No,No,Average
1188,9.8,99.1,39,10,8.8,Medium,No,Yes,Average
1189,3.5,70.3,58,6,7.0,Medium,No,Yes,At-Risk
1190,1.7,87.5,64,16,8.9,High,Yes,Yes,Average
1191,4.1,50.2,70,7,8.6,Medium,Yes,Yes,At-Risk
1192,6.3,83.4,68,9,5.4,Low,No,Yes,Average
1193,3.1,40.8,84,12,6.0,Medium,No,No,Average
1194,2.6,53.3,28,7,8.4,High,Yes,Yes,At-Risk
1195,4.9,74.8,29,2,3.0,Low,No,Yes,At-Risk
1196,5.9,61.3,57,8,6.8,Medium,Yes,Yes,At-Risk
1197,3.2,82.8,81,14,4.9,Medium,Yes,No,Average
1198,5.5,71.5,41,8,6.3,Low,Yes,Yes,At-Risk
1199,5.2,64.6,20,6,6.6,Medium,Yes,Yes,At-Risk
1200,3.1,83.2,73,13,6.5,High,No,Yes,Average
1201,5.8,100.0,68,8,6.2,Medium,No,Yes,Average
1202,6.0,73.0,48,7,5.4,High,Yes,Yes,Average
1203,7.2,86.2,50,10,10.0,Medium,No,Yes,Good
1204,7.3,58.2,50,13,9.8,Low,No,No,At-Risk
1205,2.3,58.7,66,19,5.3,High,Yes,Yes,At-Risk
1206,3.1,80.7,55,13,9.4,Medium,Yes,No,Average
1207,5.8,95.7,72,14,6.4,Medium,No,Yes,Good
1208,5.8,82.0,22,7,7.2,High,No,No,Average
1209,5.6,72.1,52,5,6.9,Medium,No,Yes,At-Risk
1210,12.0,75.9,48,10,6.0,High,Yes,Yes,Good
1211,5.8,58.6,61,10,8.5,Low,No,Yes,At-Risk
1212,7.1,81.7,56,5,7.2,Medium,Yes,Yes,Average
1213,6.7,91.6,76,9,6.3,Low,Yes,Yes,Good
1214,6.6,71.3,37,11,5.0,High,Yes,Yes,Average
1215,4.3,69.4,65,11,5.7,Low,Yes,Yes,Average
1216,6.9,82.6,73,12,4.5,High,Yes,Yes,Good
1217,3.3,65.1,92,11,7.0,High,Yes,Yes,Good
1218,4.6,73.0,57,7,5.2,Medium,Yes,Yes,At-Risk
1219,3.8,98.5,69,7,6.6,Medium,No,Yes,At-Risk
1220,7.9,87.1,37,18,3.8,Medium,Yes,Yes,Good
1221,9.3,67.5,29,17,8.8,Medium,Yes,Yes,Good
1222,1.4,66.8,77,10,7.0,Medium,Yes,No,At-Risk
1223,6.6,88.9,64,9,6.9,Medium,Yes,No,Good
1224,1.9,73.7,82,6,9.8,High,No,Yes,Good
1225,4.0,65.8,44,20,7.8,High,Yes,Yes,Average
1226,7.1,92.8,72,5,6.5,High,No,Yes,Good
1227,5.1,94.6,93,8,4.9,High,Yes,Yes,Good
1228,2.8,68.5,71,11,7.6,Medium,Yes,Yes,At-Risk
1229,3.9,48.6,69,12,8.2,Medium,No,Yes,At-Risk
1230,7.0,90.0,65,13,6.1,High,No,Yes,Good
1231,3.4,63.9,41,17,7.4,Medium,Yes,Yes,At-Risk
1232,5.0,82.8,85,12,6.5,High,No,Yes,Good
1233,5.1,43.3,55,5,6.7,Medium,Yes,No,At-Risk
1234,4.5,92.2,72,8,3.3,Medium,No,Yes,Average
1235,9.0,54.3,41,11,6.7,High,No,Yes,Average
1236,6.8,86.3,47,18,8.5,High,No,No,Good
1237,1.5,77.2,86,4,6.1,Low,No,Yes,At-Risk
1238,5.2,58.2,59,14,7.1,High,Yes,Yes,Good
1239,3.8,69.3,86,10,5.9,Medium,No,Yes,Average
1240,7.2,87.2,63,13,7.5,Medium,Yes,Yes,Good
1241,3.3,76.6,37,9,6.7,High,Yes,Yes,At-Risk
1242,4.7,89.5,78,6,5.6,Medium,Yes,Yes,At-Risk
1243,5.8,96.7,56,13,9.0,Medium,Yes,Yes,Good
1244,6.4,53.7,75,12,8.4,Medium,No,No,Good
1245,2.4,98.9,65,13,6.1,Medium,No,Yes,Average
1246,4.0,78.1,41,9,7.7,Medium,No,No,At-Risk
1247,4.1,62.4,67,7,7.8,Medium,Yes,Yes,At-Risk
1248,3.5,53.6,97,3,8.0,Low,Yes,No,At-Risk
1249,8.6,72.6,72,13,4.5,High,No,Yes,Good
1250,5.3,85.1,64,11,8.5,Medium,Yes,Yes,Average
1251,2.6,74.3,81,6,6.1,High,No,Yes,At-Risk
1252,7.1,98.3,68,7,6.5,Medium,No,Yes,Good
1253,8.6,54.5,68,8,10.0,Medium,No,Yes,Good
1254,7.2,76.9,48,4,7.5,Medium,Yes,Yes,Good
1255,2.3,56.9,68,6,6.4,Medium,No,No,At-Risk
1256,3.7,80.8,80,5,3.7,Medium,Yes,No,At-Risk
1257,8.0,86.5,52,8,9.1,Medium,No,Yes,Good
1258,3.7,67.3,86,7,5.0,Medium,Yes,Yes,Average
1259,5.7,38.3,63,3,5.5,Low,Yes,Yes,At-Risk
1260,6.5,80.9,51,18,6.5,Medium,Yes,Yes,Good
1261,3.3,81.1,79,15,9.1,Low,No,No,Average
1262,4.9,81.2,60,6,8.2,Low,Yes,Yes,Average
1263,0.2,91.7,76,11,6.8,High,Yes,No,At-Risk
1264,2.7,61.3,60,11,7.5,Medium,Yes,Yes,At-Risk
1265,4.5,86.5,64,14,6.1,Medium,No,Yes,Good
1266,2.1,96.8,72,6,7.2,Medium,No,Yes,At-Risk
1267,8.2,46.6,69,14,7.1,High,No,Yes,Good
1268,1.9,79.0,35,7,8.5,Medium,No,Yes,At-Risk
1269,3.9,67.9,48,4,8.5,High,Yes,No,At-Risk
1270,5.6,75.1,78,12,7.7,Medium,Yes,Yes,Good
1271,8.2,79.8,63,15,6.5,High,No,Yes,Good
1272,2.3,65.9,57,20,8.1,High,Yes,Yes,Average
1273,7.0,66.6,44,5,6.9,High,Yes,Yes,Average
1274,4.9,77.0,48,12,5.4,Low,Yes,Yes,At-Risk
1275,3.4,56.9,34,8,6.4,Medium,Yes,Yes,At-Risk
1276,6.0,61.4,63,13,7.1,Medium,Yes,Yes,Average
1277,6.1,87.5,56,4,8.4,Medium,Yes,No,Average
1278,3.9,58.0,50,4,6.7,High,Yes,Yes,At-Risk
1279,5.2,85.2,63,6,5.2,Low,Yes,No,At-Risk
1280,4.1,83.0,70,10,7.1,Low,Yes,Yes,At-Risk
1281,5.3,47.4,96,7,7.2,Medium,Yes,No,Average
1282,6.3,64.9,42,12,7.3,Low,Yes,Yes,Average
1283,8.4,88.6,82,14,8.4,Low,No,Yes,Good
1284,2.8,62.0,79,12,8.5,High,Yes,No,Average
1285,3.3,59.5,81,16,6.1,Medium,No,Yes,Good
1286,0.7,84.9,68,11,6.1,Low,No,Yes,At-Risk
1287,4.1,86.1,58,5,5.4,Medium,No,Yes,At-Risk
1288,6.3,70.8,67,15,8.0,Medium,Yes,No,Good
1289,5.2,64.8,87,7,9.2,Low,Yes,Yes,Good
1290,3.1,95.8,74,13,6.5,Medium,Yes,Yes,Average
1291,4.7,100.0,72,16,6.6,High,No,Yes,Good
1292,4.8,84.7,58,11,9.2,High,Yes,No,Average
1293,3.8,78.8,42,4,7.8,High,No,Yes,Average
1294,7.0,63.6,61,6,7.7,Low,No,Yes,At-Risk
1295,5.7,60.1,83,15,5.2,High,Yes,Yes,Good
1296,3.6,80.7,42,9,8.0,High,Yes,Yes,At-Risk
1297,7.1,84.6,49,10,5.6,High,No,Yes,Average
1298,5.5,94.1,66,13,5.3,Low,Yes,Yes,At-Risk
1299,6.7,82.5,50,12,6.5,High,Yes,Yes,At-Risk
1300,6.4,54.7,53,11,6.1,High,No,Yes,Average
1301,3.1,91.5,58,9,6.7,High,Yes,Yes,Good
1302,4.2,58.2,44,8,4.8,Low,No,Yes,At-Risk
1303,6.4,69.7,50,13,8.4,High,No,No,Good
1304,6.0,76.7,75,12,8.7,High,No,Yes,Good
1305,5.1,100.0,45,8,4.1,Medium,Yes,Yes,At-Risk
1306,5.0,100.0,41,14,8.5,Medium,Yes,No,Good
1307,7.6,85.2,55,9,5.8,High,Yes,Yes,Good
1308,3.8,73.0,75,6,8.3,Medium,Yes,Yes,At-Risk
1309,6.4,86.5,62,6,6.9,Medium,Yes,Yes,Good
1310,4.7,88.3,58,6,7.0,Medium,Yes,Yes,Good
1311,4.6,67.8,65,8,6.7,High,Yes,No,At-Risk
1312,7.4,100.0,38,14,8.8,Low,Yes,No,Good
1313,7.1,82.6,72,6,5.1,Medium,No,Yes,Average
1314,6.8,80.4,70,10,7.9,Medium,Yes,Yes,Good
1315,7.6,84.3,58,7,8.7,High,Yes,Yes,Good
1316,4.6,82.2,80,8,8.1,Medium,No,Yes,Good
1317,6.0,87.5,48,3,10.0,High,No,Yes,Good
1318,4.3,63.8,81,9,6.2,High,Yes,Yes,At-Risk
1319,5.5,68.9,67,9,8.4,Low,Yes,Yes,Average
1320,4.7,63.1,59,12,6.8,Medium,No,Yes,Average
1321,5.2,82.0,64,10,8.9,Low,No,No,Good
1322,6.3,84.9,63,5,7.0,Medium,No,Yes,Average
1323,3.3,78.8,83,14,6.4,Medium,No,Yes,Average
1324,9.3,100.0,48,10,9.0,High,Yes,Yes,Good
1325,3.0,77.1,53,10,6.3,High,Yes,Yes,Average
1326,2.0,86.0,80,9,4.9,Low,Yes,Yes,At-Risk
1327,7.0,58.6,56,7,6.2,Low,No,Yes,At-Risk
1328,6.5,68.0,78,10,7.9,Medium,No,Yes,Good
1329,5.9,83.2,90,11,9.1,Medium,No,Yes,Good
1330,6.4,89.4,58,3,7.2,Medium,Yes,No,Good
1331,5.4,72.4,75,7,9.0,High,Yes,Yes,Good
1332,9.2,94.9,37,8,5.0,High,Yes,Yes,Average
1333,10.0,98.1,41,11,6.3,Medium,No,Yes,Good
1334,4.1,70.8,67,14,6.6,High,No,No,Average
1335,2.3,45.7,92,6,6.8,Medium,Yes,Yes,Average
1336,4.6,80.9,55,8,7.1,High,Yes,Yes,Average
1337,3.2,79.8,40,7,8.0,Medium,Yes,Yes,At-Risk
1338,4.3,75.4,72,6,6.3,Low,Yes,Yes,Average
1339,5.7,76.1,34,8,7.2,High,No,Yes,At-Risk
1340,3.9,68.7,60,13,6.9,Medium,Yes,Yes,At-Risk
1341,3.4,86.9,79,5,5.6,High,No,Yes,Good
1342,5.5,80.8,67,11,6.8,Medium,No,Yes,Average
1343,5.6,80.3,94,3,6.8,Low,No,Yes,Average
1344,4.3,69.6,80,7,6.8,Low,Yes,No,At-Risk
1345,4.3,40.8,55,8,7.0,Medium,No,Yes,Average
1346,5.0,94.7,65,16,7.1,Medium,Yes,Yes,Good
1347,1.3,67.2,64,8,6.4,Medium,Yes,Yes,At-Risk
1348,2.5,65.2,41,1,8.9,Medium,Yes,No,At-Risk
1349,3.2,86.8,50,2,5.2,Medium,Yes,Yes,At-Risk
1350,4.5,68.8,56,10,5.9,High,Yes,Yes,At-Risk
1351,5.3,89.9,34,12,10.0,Medium,Yes,Yes,Average
1352,7.4,83.6,65,11,5.4,High,No,Yes,Good
1353,6.9,86.1,61,10,5.0,Medium,Yes,Yes,Good
1354,4.9,54.7,39,14,8.1,Medium,No,Yes,At-Risk
1355,4.8,92.0,71,7,3.9,Low,No,Yes,At-Risk
1356,2.2,78.6,75,13,6.6,Medium,Yes,No,At-Risk
1357,4.8,69.6,68,3,10.0,Low,No,Yes,Average
1358,4.5,72.9,60,6,4.7,Medium,Yes,Yes,At-Risk
1359,5.2,49.3,73,2,4.0,Low,Yes,No,At-Risk
1360,3.4,79.2,75,8,4.8,Medium,Yes,No,At-Risk
1361,6.0,57.3,69,9,8.3,High,No,Yes,Good
1362,8.2,51.3,52,10,8.7,Medium,Yes,No,Good
1363,4.8,48.6,69,10,6.2,Low,No,Yes,Average
1364,5.5,89.0,82,6,8.0,Low,Yes,Yes,Good
1365,6.7,64.1,56,9,9.1,High,No,No,Good
1366,4.2,100.0,96,4,9.7,Low,Yes,Yes,Good
1367,5.4,65.9,57,15,6.6,Medium,No,Yes,At-Risk
1368,4.7,49.7,65,8,3.5,Medium,No,Yes,At-Risk
1369,5.1,59.1,54,8,5.8,Medium,No,Yes,At-Risk
1370,3.2,93.8,68,16,6.4,Medium,No,Yes,Average
1371,5.0,72.5,38,5,6.6,High,No,Yes,At-Risk
1372,6.5,64.4,56,5,6.7,Low,Yes,No,At-Risk
1373,7.5,80.3,48,5,8.7,Medium,Yes,Yes,Average
1374,6.4,86.1,67,9,8.9,Medium,Yes,Yes,Good
1375,9.7,88.4,79,11,6.7,Low,Yes,No,Good
1376,3.4,94.7,74,12,8.6,Medium,Yes,Yes,Good
1377,6.5,69.0,29,20,7.5,Medium,Yes,Yes,Average
1378,5.7,53.2,95,1,7.1,Medium,Yes,Yes,Average
1379,9.2,69.8,69,12,8.4,Medium,No,Yes,Good
1380,3.9,77.4,53,7,7.1,Medium,Yes,Yes,At-Risk
1381,3.5,64.9,67,7,10.0,High,No,Yes,Average
1382,3.7,63.0,67,7,4.8,Medium,Yes,Yes,At-Risk
1383,1.4,80.6,54,6,6.2,Medium,No,Yes,At-Risk
1384,3.8,76.3,67,16,6.8,Medium,No,Yes,At-Risk
1385,9.1,94.4,31,13,7.7,Low,Yes,No,Good
1386,5.4,62.5,58,10,8.9,Low,Yes,Yes,Average
1387,6.1,69.9,54,15,7.0,Medium,Yes,Yes,At-Risk
1388,9.2,61.3,43,3,4.9,High,Yes,Yes,Average
1389,6.9,90.1,67,4,8.3,High,No,No,Good
1390,3.6,90.8,73,1,8.1,Low,No,Yes,At-Risk
1391,2.3,46.4,87,7,4.1,High,Yes,No,At-Risk
1392,5.8,59.5,77,10,7.0,High,Yes,Yes,Good
1393,3.0,52.4,69,10,4.6,Medium,Yes,No,At-Risk
1394,8.7,65.1,57,10,6.0,High,Yes,Yes,Good
1395,7.2,77.7,77,4,5.6,Medium,No,Yes,Good
1396,9.4,92.9,47,13,8.2,Low,Yes,Yes,Good
1397,1.2,62.2,51,10,7.2,Medium,Yes,Yes,At-Risk
1398,7.4,62.9,50,12,5.1,Medium,Yes,Yes,Average
1399,5.1,82.7,81,2,8.3,Medium,Yes,Yes,Average
1400,7.3,75.2,79,11,4.8,Medium,No,Yes,Good
1401,1.5,65.2,72,5,7.5,High,Yes,Yes,At-Risk
1402,10.2,98.2,44,8,5.8,High,No,Yes,Good
1403,8.7,90.0,46,12,6.5,High,No,Yes,Good
1404,5.3,70.7,70,10,7.8,High,Yes,Yes,Good
1405,4.4,100.0,63,6,7.8,High,Yes,Yes,Average
1406,6.0,90.0,77,10,9.0,Low,No,Yes,Good
1407,2.4,56.9,63,3,6.9,Medium,No,Yes,At-Risk
1408,5.2,87.7,59,14,7.5,Medium,No,Yes,Average
1409,5.1,86.7,73,9,6.3,High,Yes,Yes,Good
1410,6.0,61.9,78,14,7.3,Medium,No,Yes,Average
1411,6.8,85.9,54,7,7.7,High,Yes,Yes,Good
1412,2.9,97.3,64,7,6.9,Low,No,Yes,At-Risk
1413,2.1,62.1,49,6,4.3,Medium,No,No,At-Risk
1414,8.2,59.6,27,13,7.5,High,Yes,Yes,Good
1415,5.5,89.2,68,7,7.5,Low,No,Yes,At-Risk
1416,3.8,78.8,74,12,6.0,Medium,Yes,Yes,Average
1417,8.1,85.0,68,8,5.1,Medium,No,Yes,At-Risk
1418,5.3,80.5,35,2,9.2,Medium,Yes,Yes,At-Risk
1419,7.8,78.3,59,7,7.7,High,No,Yes,Good
1420,3.2,45.7,80,5,6.7,Medium,Yes,No,At-Risk
1421,9.3,89.5,85,10,5.3,Medium,No,No,Good
